date,open,high,low,close,volume,ETF_Turnover
2019-01-02,2298.181,2301.055,2252.748,2262.791,2088069700,1.55
2019-01-03,2259.483,2287.778,2253.943,2269.243,1889524000,1.27
2019-01-04,2252.745,2316.353,2249.366,2314.647,2590059600,2.24
2019-01-07,2329.032,2331.603,2306.898,2314.319,2527894800,1.2
2019-01-08,2312.171,2312.171,2298.955,2305.171,1813116000,0.8
2019-01-09,2320.912,2360.36,2318.435,2332.719,2874759600,2.1
2019-01-10,2333.216,2345.331,2321.305,2331.851,2228050700,1.11
2019-01-11,2342.024,2360.061,2334.915,2354.499,1841769300,1.25
2019-01-14,2350.256,2354.308,2330.004,2331.136,1646225200,0.89
2019-01-15,2337.702,2380.6,2332.41,2378.37,2246633600,2.36
2019-01-16,2375.171,2385.216,2366.345,2381.218,1809703900,0.97
2019-01-17,2388.593,2396.799,2370.581,2371.348,2155500000,0.81
2019-01-18,2385.622,2422.029,2380.562,2417.363,3008820000,1.28
2019-01-21,2418.005,2443.225,2418.005,2432.487,2623723600,1.1
2019-01-22,2430.435,2430.435,2394.185,2401.233,1937313700,1.26
2019-01-23,2397.409,2414.024,2392.642,2397.049,1629013500,1.12
2019-01-24,2401.376,2414.888,2385.099,2411.562,2041569700,1.12
2019-01-25,2419.256,2453.666,2418.009,2441.64,2568367900,1.72
2019-01-28,2455.276,2473.119,2429.88,2437.026,2346816300,0.95
2019-01-29,2433.306,2461.518,2423.461,2455.897,2186348000,1.18
2019-01-30,2445.865,2462.606,2439.332,2440.015,1783517000,0.92
2019-01-31,2454.644,2487.097,2450.184,2483.471,2668129800,1.44
2019-02-01,2502.104,2503.553,2479.338,2499.644,2195005400,1.04
2019-02-11,2485.503,2528.384,2484.648,2527.474,2521157000,1.28
2019-02-12,2528.103,2537.294,2515.026,2533.182,2545880400,0.85
2019-02-13,2538.416,2587.876,2528.226,2580.612,3982183200,1.43
2019-02-14,2572.642,2585.508,2564.871,2576.306,2771851500,1.45
2019-02-15,2566.337,2568.786,2515.888,2517.462,3031579600,1.74
2019-02-18,2540.532,2583.397,2540.296,2582.851,3740059200,2.4
2019-02-19,2586.858,2614.365,2568.176,2579.046,3790737900,2.2
2019-02-20,2593.789,2599.545,2569.983,2588.166,2996518100,1.0
2019-02-21,2586.739,2615.47,2569.475,2577.226,3525285500,2.09
2019-02-22,2575.998,2623.093,2555.726,2623.074,4138415100,1.72
2019-02-25,2652.906,2788.667,2652.906,2787.699,9693905100,3.86
2019-02-26,2781.309,2804.163,2729.476,2733.901,8723016100,3.67
2019-02-27,2739.111,2794.932,2722.309,2750.339,7550886500,2.76
2019-02-28,2749.87,2767.861,2733.03,2743.972,4634095900,1.49
2019-03-01,2764.946,2819.468,2747.213,2819.468,5610014700,2.07
2019-03-04,2839.405,2907.818,2816.979,2832.588,9218016700,3.18
2019-03-05,2829.5,2835.106,2807.123,2828.869,6034923500,1.83
2019-03-06,2827.857,2847.378,2797.502,2840.272,6949222400,2.62
2019-03-07,2831.361,2831.361,2773.353,2789.7,7326395900,2.22
2019-03-08,2731.53,2753.553,2684.197,2685.592,7203392800,2.34
2019-03-11,2683.765,2714.089,2670.793,2708.598,5201405200,2.13
2019-03-12,2730.529,2759.609,2704.693,2719.773,6486754400,2.7
2019-03-13,2731.501,2747.957,2699.98,2723.962,5406457100,2.69
2019-03-14,2720.188,2752.661,2716.269,2729.132,4347181300,2.19
2019-03-15,2735.999,2783.507,2735.863,2755.805,4412309600,2.62
2019-03-18,2763.225,2827.26,2749.199,2825.184,6160523500,2.72
2019-03-19,2830.242,2842.445,2797.717,2806.896,4345905600,1.68
2019-03-20,2799.325,2831.625,2787.283,2812.918,4032224700,2.15
2019-03-21,2816.452,2822.634,2799.834,2802.965,4363138500,1.65
2019-03-22,2804.718,2813.515,2771.956,2795.391,3598807000,1.51
2019-03-25,2757.81,2765.842,2717.294,2718.181,5214091500,2.81
2019-03-26,2737.372,2739.286,2693.911,2706.154,4007395500,1.82
2019-03-27,2721.138,2751.722,2714.095,2741.591,3354201800,2.14
2019-03-28,2728.045,2742.701,2709.387,2733.974,3184030300,1.21
2019-03-29,2747.542,2845.228,2746.113,2838.505,5967666900,2.85
2019-04-01,2860.144,2906.151,2860.144,2892.619,7791214600,2.46
2019-04-02,2900.631,2903.869,2878.395,2888.53,6118746100,1.87
2019-04-03,2869.846,2923.922,2865.296,2920.001,6472374900,1.66
2019-04-04,2927.101,2959.59,2921.204,2951.985,7303571600,1.55
2019-04-08,2978.503,3007.83,2938.646,2962.275,7453190900,1.91
2019-04-09,2968.078,2980.123,2948.306,2967.514,5080214200,1.85
2019-04-10,2957.271,2996.407,2941.348,2979.099,4869243800,2.44
2019-04-11,2982.393,3000.095,2920.194,2928.427,4281114400,1.61
2019-04-12,2920.553,2933.446,2903.268,2920.515,3252163300,1.54
2019-04-15,2973.022,2999.326,2924.602,2924.926,5843752800,2.72
2019-04-16,2914.99,3023.025,2909.665,3023.025,7076416300,2.85
2019-04-17,3017.395,3035.405,2996.761,3017.416,4996067500,2.16
2019-04-18,3014.915,3019.545,2993.274,3004.925,3967068400,1.24
2019-04-19,3013.672,3043.926,2989.548,3042.432,3994367200,3.11
2019-04-22,3047.426,3048.824,2962.359,2970.488,5675969700,2.98
2019-04-23,2967.996,3007.354,2964.978,2978.845,4106545600,1.93
2019-04-24,2989.959,3001.534,2933.528,2974.847,3542572900,2.06
2019-04-25,2962.741,2973.223,2924.025,2927.995,3893448300,2.53
2019-04-26,2913.775,2930.209,2892.528,2892.857,3656219700,2.37
2019-04-29,2906.469,2968.162,2899.827,2939.405,3924935500,2.09
2019-04-30,2935.241,2955.884,2919.494,2945.244,3212798300,1.39
2019-05-06,2853.885,2867.597,2768.801,2805.035,6243606300,3.99
2019-05-07,2814.469,2833.196,2777.734,2806.258,3541817700,2.46
2019-05-08,2753.611,2796.466,2750.926,2758.244,3039877200,1.94
2019-05-09,2740.349,2748.007,2686.467,2698.78,3075868100,2.52
2019-05-10,2731.577,2798.874,2698.807,2793.759,3945327800,5.31
2019-05-13,2751.756,2767.482,2736.844,2741.112,2659097100,1.53
2019-05-14,2716.726,2754.692,2716.726,2724.734,2622201800,2.39
2019-05-15,2743.781,2797.153,2743.781,2783.544,3071892000,2.24
2019-05-16,2777.85,2793.762,2766.15,2791.415,2894630200,1.33
2019-05-17,2792.077,2792.506,2728.935,2735.212,3007206300,2.81
2019-05-20,2726.068,2746.66,2697.609,2715.432,3120264600,2.67
2019-05-21,2717.874,2764.483,2712.042,2739.785,2696905100,2.95
2019-05-22,2739.112,2745.857,2714.65,2725.734,2316872900,1.96
2019-05-23,2710.573,2713.943,2679.542,2685.934,2781015600,1.68
2019-05-24,2693.879,2722.336,2692.526,2702.025,2123707600,1.28
2019-05-27,2696.258,2731.304,2667.377,2722.335,2724384800,1.63
2019-05-28,2719.061,2759.779,2716.308,2748.799,3467005600,2.28
2019-05-29,2728.435,2780.307,2724.852,2755.808,2494085700,1.43
2019-05-30,2748.429,2752.686,2721.881,2742.964,2439840500,0.91
2019-05-31,2740.303,2762.387,2728.946,2728.946,2218815200,0.93
2019-06-03,2737.806,2762.076,2723.932,2743.064,2709222000,1.29
2019-06-04,2744.696,2746.515,2713.804,2721.314,2227583200,1.19
2019-06-05,2741.938,2747.234,2717.932,2719.595,2576625300,1.08
2019-06-06,2727.697,2727.697,2701.921,2706.762,2139031200,0.94
2019-06-10,2717.914,2752.882,2712.159,2743.375,2708808100,1.91
2019-06-11,2750.541,2816.992,2750.541,2812.899,4085031500,2.4
2019-06-12,2802.527,2805.005,2790.183,2796.732,2644523000,1.16
2019-06-13,2798.022,2804.756,2771.857,2794.536,2345288700,1.25
2019-06-14,2798.396,2816.177,2781.723,2785.606,2612483000,0.92
2019-06-17,2785.473,2813.445,2785.473,2793.704,2047785100,0.8
2019-06-18,2800.83,2809.866,2785.381,2806.454,2167640400,0.97
2019-06-19,2872.073,2879.235,2842.424,2842.736,4116011000,1.68
2019-06-20,2847.317,2954.033,2846.435,2942.629,5736036900,3.54
2019-06-21,2939.648,2958.227,2929.903,2938.773,4656020500,2.33
2019-06-24,2942.506,2958.024,2931.667,2949.518,2901601800,1.11
2019-06-25,2946.02,2946.708,2875.368,2910.121,3816559500,3.12
2019-06-26,2896.765,2915.235,2891.004,2903.487,2402466000,1.18
2019-06-27,2917.204,2952.908,2914.962,2937.128,3347248700,1.25
2019-06-28,2932.693,2937.291,2911.666,2930.598,2370867100,1.52
2019-07-01,2984.649,3011.91,2978.752,3002.94,4262271400,2.7
2019-07-02,3000.78,3003.884,2988.47,2999.076,3462948800,0.92
