date,open,high,low,close,volume,ETF_Turnover
2019-01-02,4436.75,4444.44,4399.59,4408.53,66272241,0.02
2019-01-03,4404.31,4446.03,4375.86,4376.86,80494981,0.01
2019-01-04,4338.06,4497.91,4326.33,4497.89,103470812,0.03
2019-01-07,4523.23,4598.63,4516.0,4594.15,114553618,0.02
2019-01-08,4586.84,4596.8,4567.29,4585.03,107411023,0.03
2019-01-09,4588.69,4654.77,4578.45,4594.74,123173857,0.02
2019-01-10,4592.74,4619.82,4571.09,4582.48,106482939,0.02
2019-01-11,4585.22,4621.61,4575.64,4621.61,104124237,0.02
2019-01-14,4621.7,4625.56,4580.54,4594.19,101738120,0.02
2019-01-15,4583.55,4644.17,4569.14,4644.17,101562237,0.03
2019-01-16,4644.23,4669.63,4632.07,4637.2,102219630,0.02
2019-01-17,4632.27,4639.79,4590.31,4595.49,103440105,0.01
2019-01-18,4596.25,4627.66,4576.77,4626.41,109175224,0.02
2019-01-21,4629.79,4668.48,4624.65,4655.11,100076065,0.02
2019-01-22,4651.03,4651.1,4589.37,4603.2,97121042,0.02
2019-01-23,4590.69,4609.68,4580.63,4609.67,85172900,0.01
2019-01-24,4613.93,4651.02,4591.8,4635.75,99056796,0.02
2019-01-25,4634.06,4651.32,4606.87,4607.94,99927191,0.03
2019-01-28,4629.43,4640.62,4565.79,4570.4,90488000,0.02
2019-01-29,4557.81,4558.05,4419.4,4490.05,96718036,0.05
2019-01-30,4464.8,4492.66,4422.36,4423.14,74488978,0.03
2019-01-31,4408.11,4441.42,4328.92,4355.74,94572193,0.06
2019-02-01,4369.27,4482.99,4369.27,4482.99,77712658,0.03
2019-02-11,4497.53,4611.83,4497.53,4611.83,92672576,0.06
2019-02-12,4611.85,4685.13,4604.1,4675.79,112331013,0.09
2019-02-13,4679.69,4766.18,4672.78,4759.83,136305866,0.07
2019-02-14,4758.51,4801.09,4741.52,4780.04,122835602,0.07
2019-02-15,4772.98,4805.8,4763.76,4773.51,125212370,0.08
2019-02-18,4805.33,4942.88,4805.33,4942.88,164851886,0.08
2019-02-19,4964.22,4988.26,4897.23,4963.75,192358065,0.11
2019-02-20,4958.89,4971.13,4906.63,4967.04,165216069,0.08
2019-02-21,4957.63,5046.62,4930.97,4947.66,190944300,0.08
2019-02-22,4935.44,5059.51,4932.2,5059.51,178598981,0.06
2019-02-25,5129.47,5324.52,5120.47,5324.25,279811988,0.1
2019-02-26,5335.38,5438.88,5273.9,5323.76,301079739,0.15
2019-02-27,5312.56,5391.87,5245.41,5310.27,249461988,0.09
2019-02-28,5306.2,5370.21,5291.98,5330.34,200466406,0.05
2019-03-01,5344.42,5364.37,5286.0,5364.37,178938606,0.1
2019-03-04,5418.71,5562.2,5418.27,5482.3,273202345,0.13
2019-03-05,5470.7,5654.31,5451.29,5654.31,268062367,0.06
2019-03-06,5694.9,5776.98,5625.34,5776.97,322771412,0.23
2019-03-07,5775.3,5928.61,5750.05,5877.3,329260508,0.2
2019-03-08,5736.93,5913.03,5633.29,5633.32,328703795,0.23
2019-03-11,5682.57,5876.34,5645.18,5876.34,264261668,0.17
2019-03-12,5922.57,6046.62,5897.17,6006.18,318246948,0.2
2019-03-13,6014.51,6039.97,5822.57,5866.63,293148959,0.14
2019-03-14,5810.02,5860.93,5622.34,5688.95,232973852,0.12
2019-03-15,5723.65,5816.32,5704.27,5777.11,200343468,0.11
2019-03-18,5801.32,5916.34,5743.6,5916.34,212333650,0.09
