Index_Label,date,open,high,low,close,volume,ETF_Turnover
SSE50,2026-01-21,3073.77,3097.66,3060.65,3067.18,65664880,11.39
CSI300,2026-01-21,4714.55,4758.28,4714.24,4723.07,266353332,6.49
CSI500,2026-01-21,8196.56,8351.45,8196.56,8340.11,243304381,6.41
CSI1000,2026-01-21,8138.68,8289.13,8136.92,8247.68,325676368,24.45
