date,open,high,low,close,volume,ETF_Turnover
2019-01-02,4176.11,4179.72,4125.94,4131.96,47494449,1.03
2019-01-03,4131.69,4182.2,4110.53,4112.81,55491244,1.14
2019-01-04,4075.62,4210.88,4071.69,4210.88,73448737,1.58
2019-01-07,4235.03,4297.02,4223.46,4288.32,81153449,1.48
2019-01-08,4278.28,4289.63,4264.6,4277.3,69556938,0.8
2019-01-09,4286.23,4354.2,4280.66,4288.77,85153595,2.33
2019-01-10,4289.56,4319.49,4274.2,4281.86,68910889,1.07
2019-01-11,4282.39,4316.54,4267.29,4314.88,68355085,1.09
2019-01-14,4317.52,4325.95,4278.76,4286.55,67679613,0.66
2019-01-15,4282.99,4350.93,4271.64,4347.36,72005181,1.45
2019-01-16,4347.08,4364.1,4330.74,4336.88,69274744,0.98
2019-01-17,4334.63,4347.18,4297.67,4303.73,74562112,0.93
2019-01-18,4307.14,4351.44,4297.48,4347.81,83371612,1.38
2019-01-21,4354.7,4395.06,4352.81,4373.63,72781532,1.34
2019-01-22,4370.86,4370.86,4291.96,4308.25,69496673,1.14
2019-01-23,4298.94,4322.89,4292.09,4315.68,58485734,0.73
2019-01-24,4318.71,4363.22,4292.83,4338.17,70630305,1.16
2019-01-25,4341.41,4359.46,4315.95,4318.44,71657477,0.99
2019-01-28,4341.49,4370.9,4297.96,4307.22,67279936,1.26
2019-01-29,4301.47,4301.47,4188.59,4254.29,77753728,1.72
2019-01-30,4235.27,4266.88,4211.19,4211.62,58513769,1.12
2019-01-31,4203.98,4240.72,4151.41,4176.47,71511204,1.97
2019-02-01,4189.11,4295.04,4189.11,4294.27,66099676,2.3
2019-02-11,4306.2,4403.73,4306.2,4402.87,75297357,1.79
2019-02-12,4398.44,4452.5,4394.83,4439.49,85271155,1.66
2019-02-13,4442.73,4526.27,4433.03,4512.41,113218903,1.95
2019-02-14,4507.84,4555.23,4494.55,4532.17,94828534,1.22
2019-02-15,4523.94,4544.39,4497.39,4502.73,93511608,1.42
2019-02-18,4527.97,4661.0,4527.97,4661.0,124124004,2.02
2019-02-19,4683.33,4706.53,4614.28,4667.28,143874767,2.02
