日期,ma20_ratio,new_high_ratio
2025-10-20,35.05882352941177,0.2352941176470588
2025-10-21,43.529411764705884,0.7058823529411765
2025-10-22,37.1764705882353,0.4705882352941176
2025-10-23,42.58823529411765,0.4705882352941176
2025-10-24,45.88235294117647,0.2352941176470588
2025-10-27,53.88235294117647,0.9411764705882352
2025-10-28,52.470588235294116,0.7058823529411765
2025-10-29,61.1764705882353,1.411764705882353
2025-10-30,48.94117647058824,0.7058823529411765
2025-10-31,52.470588235294116,0.0
2025-11-03,51.05882352941177,0.2352941176470588
2025-11-04,41.411764705882355,0.0
2025-11-05,44.0,0.7058823529411765
2025-11-06,53.17647058823529,0.4705882352941176
2025-11-07,52.70588235294118,0.0
2025-11-10,58.11764705882353,0.4705882352941176
2025-11-11,57.647058823529406,0.2352941176470588
2025-11-12,53.17647058823529,0.2352941176470588
2025-11-13,61.1764705882353,0.2352941176470588
2025-11-14,54.11764705882353,0.4705882352941176
2025-11-17,47.05882352941176,0.4705882352941176
2025-11-18,32.470588235294116,0.0
2025-11-19,27.764705882352942,0.0
2025-11-20,24.29245283018868,0.0
2025-11-21,11.084905660377359,0.0
2025-11-24,13.679245283018867,0.0
2025-11-25,17.92452830188679,0.0
2025-11-26,17.21698113207547,0.2358490566037736
2025-11-27,16.27358490566038,0.0
2025-11-28,23.82075471698113,0.0
2025-12-01,34.19811320754717,0.2358490566037736
2025-12-02,27.594339622641513,0.2358490566037736
2025-12-03,26.650943396226417,0.7075471698113208
2025-12-04,30.424528301886795,0.2358490566037736
2025-12-05,38.91509433962264,0.2358490566037736
2025-12-08,44.575471698113205,0.2358490566037736
2025-12-09,35.37735849056604,0.0
2025-12-10,42.45283018867924,0.0
2025-12-11,34.19811320754717,0.2358490566037736
2025-12-12,48.82075471698113,0.4716981132075472
2025-12-15,43.39622641509434,0.4716981132075472
2025-12-16,34.66981132075472,0.2358490566037736
2025-12-17,48.34905660377358,0.4716981132075472
2025-12-18,46.35294117647059,0.2352941176470588
2025-12-19,57.88235294117647,0.0
2025-12-22,61.64705882352941,0.7058823529411765
2025-12-23,55.05882352941176,0.2352941176470588
2025-12-24,63.52941176470588,0.4705882352941176
2025-12-25,71.05882352941177,0.9411764705882352
2025-12-26,72.70588235294117,0.2352941176470588
2025-12-29,64.94117647058823,0.7058823529411765
2025-12-30,65.41176470588236,0.4705882352941176
2025-12-31,62.82352941176471,0.9411764705882352
2026-01-05,78.11764705882352,0.9411764705882352
2026-01-06,88.70588235294117,2.823529411764706
2026-01-07,86.11764705882354,2.1176470588235294
2026-01-08,83.52941176470588,1.8823529411764703
2026-01-09,88.70588235294117,2.3529411764705883
2026-01-12,87.5,4.245283018867925
2026-01-13,84.86997635933807,1.1820330969267139
